Plant variety,Tray number,Treatment,Day,sample 1,sample 2,sample 3,sample 4,sample 5,sample 6
Hordeum vulgare,1,control,1,18,24,24,25,26,28.5
Hordeum vulgare,1,control,2,25,27.7,29,28.1,33.5,33.4
Hordeum vulgare,1,control,3,26.5,30.5,32,30,30,33
Hordeum vulgare,1,control,4,35,43,45,41,42.5,46
Hordeum vulgare,1,control,5,37,47,45,43,50,48
Hordeum vulgare,2,water stress,1,19,23,27,9,19,25
Hordeum vulgare,2,water stress,2,26.7,27.3,34.2,12.2,15.5,18.5
Hordeum vulgare,2,water stress,3,26,24,35,18,22,26
Hordeum vulgare,2,water stress,4,29.8,27.6,38.1,20,22.6,26
Hordeum vulgare,2,water stress,5,29,28,36,20,45,26
Hordeum vulgare,3,salt stress 1,1,25,27,17,17,28,28
Hordeum vulgare,3,salt stress 1,2,30.6,33.3,12.9,30.7,21.2,40.9
Hordeum vulgare,3,salt stress 1,3,31.5,38,31.5,36,33.5,36.5
Hordeum vulgare,3,salt stress 1,4,44.2,50.1,39.1,42,42,43.5
Hordeum vulgare,3,salt stress 1,5,45,49,39,42,41,45
Hordeum vulgare,4,salt stress 2,1,17,21,27,19.5,23,29
Hordeum vulgare,4,salt stress 2,2,29.6,22.7,31.1,27.8,31.2,30
Hordeum vulgare,4,salt stress 2,3,36,33,36,37,28,37.5
Hordeum vulgare,4,salt stress 2,4,33.5,39.5,43.3,36.5,46.4,40
Hordeum vulgare,4,salt stress 2,5,35,39,35,36,36,46.5
Lolium rigidum,1,control,1,16.5,17,15,15,19,17
Lolium rigidum,1,control,2,22.4,19.3,18.4,18.7,15.5,17.3
Lolium rigidum,1,control,3,25,25,21.5,23,24,25
Lolium rigidum,1,control,4,35.1,34,33,33.5,34.1,27
Lolium rigidum,1,control,5,30.5,35.5,32.3,33.8,33.7,25
Lolium rigidum,2,water stress,1,19,15,6.5,12,14,16
Lolium rigidum,2,water stress,2,19.4,18.2,8.3,20.1,15.7,21
Lolium rigidum,2,water stress,3,22.5,24,22,21,20.5,23.5
Lolium rigidum,2,water stress,4,23.5,35,32.5,26.5,31,33.2
Lolium rigidum,2,water stress,5,21,32,26,27,30,31
Lolium rigidum,3,salt stress 1,1,9.5,7,14,17,11,17
Lolium rigidum,3,salt stress 1,2,14.6,14.5,14.6,17.7,17.4,20.5
Lolium rigidum,3,salt stress 1,3,16,19.5,19.5,21,20,25
Lolium rigidum,3,salt stress 1,4,23.5,21,22,25.6,20.2,32.5
Lolium rigidum,3,salt stress 1,5,23,22,21,28,26,32
Lolium rigidum,4,salt stress 2,1,17,18,14,14,18.5,18
Lolium rigidum,4,salt stress 2,2,16.7,21.4,19.3,16,19,20.9
Lolium rigidum,4,salt stress 2,3,20,24.5,21,21,24,21
Lolium rigidum,4,salt stress 2,4,20,35.5,24,27,30,34
Lolium rigidum,4,salt stress 2,5,19,31,25,26,29,33
